mse,rmse,mae,mdae,mape,rmsle,r2,adj_r2,nrmse,train_time,model,best_components
0.1165989667317761,0.3414659085937806,0.2753180912466429,0.2370464167188366,3.926003807168425,,0.7985300527158914,0.7830323644632676,0.1171703012532658,0.0003671646118164,PLS_FINAL_5_components,5.0
0.1278655918725341,0.3575829859942083,0.2796009745657316,0.3124723552934583,3.9748603917340857,,0.779062587121621,0.7620674015155919,0.1227007005312121,0.0003509521484375,Ridge,
0.1281291359307035,0.3579513038538952,0.2798204635465298,0.3129360784212371,3.9780962467567287,,0.7786072125244466,0.7615769981032503,0.122827084786537,0.0004191398620605,OLS,
0.1960392952947295,0.4427632497110951,0.3904368139920643,0.394878158695529,5.558329190574883,,0.661266067824602,0.6352096115034175,0.1519293787370166,0.0004150867462158,Lasso,
,0.5561547986462593,,,,,,,,,PLS_CV_5_components,5.0
0.3500211774810606,0.5916258762774501,0.4828048528244631,0.4762649118621294,7.140476785839947,,0.3952026321326503,0.3486797576813156,0.2030099650009946,0.0008046627044677,PCR,
